S.No,Company Name,Package Offered
1,Adobe,2400000
2,Amadeus,560000
3,Amdocs,450000
4,Health Edge Technologies,525000
5,Capgemini,400000
6,Movate,240000
7,Cisco,1500000
8,DE Shaw&Co,2000000
9,DBS,700000
10,Deloitte,800000
11,Siemens Energy,550000
12,Micron,600000
13,Cyient,450000
14,Rockwell Automation,500000
15,Daimler Truck,750000
16,Verizon,660000
17,Renault Nissan,425000
18,Genpact,417200
19,Target,700000
20,Wiley,450000
21,Zoho,1800000
22,Broadridge,450000
23,NTT Data,500000
24,DXC.technology,600000
25,Flipkard,2400000
26,Hero,900000
27,Publicis Sapient,1240000
28,Mindtree,450000
29,Persistent,500000
30,Paloalto,800000
31,Providence,1000000
32,SenecaGlobal,700000
33,TechnipFMC,600000
34,Walmart,2227202
35,Zemoso,800000
36,experian,600000
37,Cognizant,450000
38,Amazon,320000
39,Faurercia,700000
40,Honda,805000
41,KPIT,450000
42,SoCtronics,550000
43,Infosys,350000
44,Tata Technologies,450000
45,SmartInterviews,2200000
46,Thermax,900000
47,Sify,600000
48,Atos Syntel,900000
49,Bny Mellon,2000000
50,Bank of America,645000
51,Accenture,450000
52,HCL,350000
53,TCE,450000
54,Infineon,1050000
55,TCS ,700000
56,Saint -Gobain,700000
57,Tech Mahindra,325000
58,Wipro,350000
59,Wabtec,850000
60,Epiroc,600000
61,American Express,800000
62,IBM,500000
63,Hexaware,500000
64,informatica,700000
65,John Deere,1000000
66,Visa,3270000
