Year,Publication Details,SVECW Author,Department,Paper Link
2022,Graphene based tunable bandpass filter for terahertz spectroscopy of polymers,G Challa Ram,ECE,https://www.sciencedirect.com/science/article/pii/S0030402622010671
2022,Research on induction generators for isolated rural applications: State of art and experimental demonstration,Sarath Babu,EEE,https://www.sciencedirect.com/science/article/pii/S2665917422001751
2022,Tunable luminescence from Bi3+ sensitized La2Zr2O7:Eu3+ red nanophosphors,B V Naveen Kumar,BS-Physics,https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/abs/10.1002/bio.4378
2022,Floorplanning for thermal consideration: Slicing with low power on field programmable gate array,M Pradeep,ECE,https://www.sciencedirect.com/science/article/pii/S2665917422001258
2022,Deployment and performance measurement of renewable energy based permanent magnet synchronous generator system,Sarath Babu,EEE,https://www.sciencedirect.com/science/article/pii/S266591742200112X
2022,Analytical tuning rules for second-order reduced ADRC with SOPDT models,M V Srikanth,EEE,https://www.sciencedirect.com/science/article/pii/S0019057822002397
2022,Artificial intelligence-based breast cancer detection using WPSO,D Murali Krishna,ECE,https://www.igi-global.com/article/artificial-intelligence-based-breast-cancer-detection-using-wpso/306195
2022,Level of service of urban and rural roads - A case study in Bhimavaram,P Gireesh Kumar,CE,https://iopscience.iop.org/article/10.1088/1757-899X/1006/1/012018/pdf
2022,Machine learning-based optimal segmentation system for web data using genetic approach,N Silpa,CSE,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133520381
2022,Reliability enhancement and low leakage in radial distribution systems using big bang crunch (BBC) optimization algorithm,G Bharathi,EEE,https://ijisae.org/index.php/IJISAE/article/view/2189
2023,Stator inter-turn short-circuit fault in 3-Φ induction motors: A critical observation,Sarath Babu,EEE,https://ieeexplore.ieee.org/document/10151320
2023,IoT based smart classroom monitoring system using convolutional neural network algorithm,Narasimharaju Manthena,CSE,https://pubs.aip.org/aip/acp/article-abstract/2655/1/020021/2888239
2023,Enhanced luminescence and energy transfer of Bi3+/Dy3+ co-doped La2Zr2O7 nanophosphors for pc-LED applications,B Naveen Kumar,BS-Physics,https://www.physchemres.org/article_149373.html
2023,An exposition of speculative and numerical analysis of CFST columns,P Gireesh Kumar,CE,https://iopscience.iop.org/article/10.1088/1757-899X/1006/1
